№;Спикер;Тема;Код
1;Евгений Н. (г.Чебоксары);Как я избавился от интернет-зависимости;evgeniy_n_1
2;Стас;—;stas_1
3;Tomas;—;tomas_1
4;Марат;—;marat_1
5;Дина;—;dina_1
6;—;Семинар 03.05.22;seminar_1
7;—;Семинар по границам — Часть #1;seminar_boundaries_1
8;—;Семинар по границам — Часть #2;seminar_boundaries_2
9;Демьян;—;demyan_1
10;Сергей;Опыт программы;sergey_1
11;Эвелина Р.;Служение — неотъемлемая часть выздоровления;evelina_r_1
12;Сергей;Опыт выздоровления;sergey_2
13;Татьяна;Что такое болезнь и выздоровление;tatyana_1
14;Татьяна;Открытия во время прохождения программы;tatyana_2
15;Катя;Прогресс а не совершенство;katya_1
16;Сергей;Опыт применения инструмента границы;sergey_3
17;Стас;История создания сообщества АИЗ;stas_2
18;Евгений;Первая и пятая традиции;evgeniy_1
19;Стас;Вторая традиция;stas_3
20;Даниил;Инструменты выздоровления;daniil_1
21;—;Интервью с интернет-зависимым: зависимость от телефона, игр, новостей;interview_1
22;—;Первый шаг. Глава БКАА «Ещё об алкоголизме» в прочтении для АИЗ;reading_bkaa_1
23;Татьяна (Кемерово);Шаги в повседневной жизни;tatyana_kemerovo_1
24;Настя;Опыт служения Ведущим собрания и его влияние на личное выздоровление;nastya_1
25;Демьян;Служение;demyan_2
26;Салима;Как изменилась жизнь после прохождения шагов;salima_1
27;Демьян;Здоровые границы;demyan_3
28;Станислав;Начало служения в сообществе: как начать, для чего это и что это значит на практике;stanislav_1
29;Татьяна Ш.;О выздоровлении от интернет-зависимости;tatyana_sh_1
30;Наталья;Прохождение шагов в малой группе со спонсором;natalya_1
31;Даниил;Выздоровление в АИЗ;daniil_2
32;Алена и Алексей;Опыт прохождения 12-ти шагов Медиа Зависимых, 1-й месяц;alena_aleksey_1
33;Станислав;Первые шаги в АИЗ;stanislav_2
34;Алексей;Опыт прохождения шагов в малой группе со спонсором;aleksey_1
35;Евгений;Опыт прохождения шагов в малой группе со спонсором;evgeniy_2
36;Анастасия;12 шагов за 3 месяца по программе Сергея П. — Анализ причин успеха в выздоровлении, часть 1;anastasiya_1
38;Настя;— (1 год 4 мес. в программе);nastya_2
39;Анастасия;12 шагов за 3 месяца по программе Сергея П. — Анализ причин успеха в выздоровлении, часть 2;anastasiya_2
41;Александра;Выздоровление от интернет-зависимости в АИЗ: что было что стало;aleksandra_1
42;Маргарита;Опыт прохождения программы 12 шагов в сообществе АИЗ;margarita_1
43;Дмитрий;Опыт прохождения 12 шагов в малой группе со спонсором;dmitriy_1
44;Сергей;Моё выздоровление от интернет-зависимости;sergey_4
45;Татьяна Ш.;Инструменты трезвости в интернет-зависимости, как их вижу я;tatyana_sh_2
46;Дмитрий;1 год в программе;dmitriy_2
